Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,33.0,33.0,32.0,32.83,30600,16.0,0.0,16.0,16.0
2014-01-03,2014,1,3,Friday,00,2014-00,32.67,33.09,32.13,33.02,20200,16.09,0.005787604915243216,16.045,16.045
2014-01-06,2014,1,6,Monday,01,2014-01,33.21,33.66,32.36,32.36,14000,15.77,-0.019988017206949427,15.953333333333333,15.953333333333333
2014-01-07,2014,1,7,Tuesday,01,2014-01,32.83,33.36,32.47,33.12,9100,16.14,0.023485386735397684,16.0,16.0
2014-01-08,2014,1,8,Wednesday,01,2014-01,33.17,33.24,32.91,33.05,5400,16.1,-0.0021133508198999396,16.02,16.02
2014-01-09,2014,1,9,Thursday,01,2014-01,32.98,33.22,32.89,33.14,7200,16.15,0.0027234105049218638,16.041666666666668,16.041666666666668
2014-01-10,2014,1,10,Friday,01,2014-01,33.22,33.85,33.0,33.85,16000,16.49,0.02142371845117541,16.105714285714285,16.105714285714285
2014-01-13,2014,1,13,Monday,02,2014-02,34.0,34.92,33.54,34.41,112700,16.77,0.016543935044965208,16.18875,16.18875
2014-01-14,2014,1,14,Tuesday,02,2014-02,34.75,35.21,33.52,34.06,22700,16.6,-0.010171409615947757,16.234444444444446,16.234444444444446
2014-01-15,2014,1,15,Wednesday,02,2014-02,33.75,35.69,33.75,34.74,30500,16.93,0.019964694159710694,16.304,16.304
2014-01-16,2014,1,16,Thursday,02,2014-02,35.18,35.34,34.25,34.26,38900,16.69,-0.013817061181488066,16.33909090909091,16.33909090909091
2014-01-17,2014,1,17,Friday,02,2014-02,34.42,34.73,33.62,33.84,19500,16.49,-0.012259087742614638,16.351666666666667,16.351666666666667
2014-01-21,2014,1,21,Tuesday,03,2014-03,33.85,34.0,33.49,33.5,15000,16.32,-0.010047302995856433,16.34923076923077,16.34923076923077
2014-01-22,2014,1,22,Wednesday,03,2014-03,34.81,34.81,33.53,34.17,30800,16.65,0.020000119186043497,16.370714285714286,16.370714285714286
